,REF_AREA,TIME_PERIOD,INDICATOR,OBS_VALUE
427,ROU,2013,DM_NET_MG_RATE,-0.692
428,RUS,2013,DM_NET_MG_RATE,2.027
429,RWA,2013,DM_NET_MG_RATE,-1.425
430,SAU,2013,DM_NET_MG_RATE,2.472
431,SDN,2013,DM_NET_MG_RATE,-5.135
432,SEN,2013,DM_NET_MG_RATE,-3.366
433,SGP,2013,DM_NET_MG_RATE,12.397
434,SHN,2013,DM_NET_MG_RATE,10.455
435,SLB,2013,DM_NET_MG_RATE,-2.748
436,SLE,2013,DM_NET_MG_RATE,0.398
437,SLV,2013,DM_NET_MG_RATE,-7.904
438,SMR,2013,DM_NET_MG_RATE,3.279
439,SOM,2013,DM_NET_MG_RATE,1.613
440,SPM,2013,DM_NET_MG_RATE,-0.832
441,SRB,2013,DM_NET_MG_RATE,0.952
442,SSD,2013,DM_NET_MG_RATE,5.899
443,STP,2013,DM_NET_MG_RATE,-9.15
444,SUR,2013,DM_NET_MG_RATE,-1.733
445,SVK,2013,DM_NET_MG_RATE,0.236
446,SVN,2013,DM_NET_MG_RATE,0.101
447,SWE,2013,DM_NET_MG_RATE,7.581
448,SWZ,2013,DM_NET_MG_RATE,-9.489
449,SXM,2013,DM_NET_MG_RATE,43.818
450,SYC,2013,DM_NET_MG_RATE,3.347
451,SYR,2013,DM_NET_MG_RATE,-92.4
452,TCA,2013,DM_NET_MG_RATE,40.597
453,TCD,2013,DM_NET_MG_RATE,3.933
454,TGO,2013,DM_NET_MG_RATE,-0.279
455,THA,2013,DM_NET_MG_RATE,0.972
456,TJK,2013,DM_NET_MG_RATE,-3.052
457,TKL,2013,DM_NET_MG_RATE,8.697
458,TKM,2013,DM_NET_MG_RATE,-1.725
459,TLS,2013,DM_NET_MG_RATE,-1.359
460,TON,2013,DM_NET_MG_RATE,-23.602
461,TTO,2013,DM_NET_MG_RATE,-0.552
462,TUN,2013,DM_NET_MG_RATE,-2.388
463,TUR,2013,DM_NET_MG_RATE,5.152
464,TUV,2013,DM_NET_MG_RATE,-13.662
465,TWN,2013,DM_NET_MG_RATE,1.441
466,TZA,2013,DM_NET_MG_RATE,0.027
467,UGA,2013,DM_NET_MG_RATE,-4.994
468,UKR,2013,DM_NET_MG_RATE,0.752
469,UNICEF_EAP,2013,DM_NET_MG_RATE,0.173
470,UNICEF_EAPRO,2013,DM_NET_MG_RATE,-0.167
471,UNICEF_ECARO,2013,DM_NET_MG_RATE,0.172
472,UNICEF_EECA,2013,DM_NET_MG_RATE,1.003
473,UNICEF_ESA,2013,DM_NET_MG_RATE,-0.424
474,UNICEF_ESARO,2013,DM_NET_MG_RATE,-0.053
475,UNICEF_LAC,2013,DM_NET_MG_RATE,-0.801
476,UNICEF_LACRO,2013,DM_NET_MG_RATE,-0.802
477,UNICEF_MENA,2013,DM_NET_MG_RATE,1.286
478,UNICEF_MENARO,2013,DM_NET_MG_RATE,0.772
479,UNICEF_NA,2013,DM_NET_MG_RATE,4.421
480,UNICEF_ROSA,2013,DM_NET_MG_RATE,-1.588
481,UNICEF_SA,2013,DM_NET_MG_RATE,-1.588
482,UNICEF_WCA,2013,DM_NET_MG_RATE,-0.56
483,UNICEF_WCARO,2013,DM_NET_MG_RATE,-0.56
484,UNICEF_WE,2013,DM_NET_MG_RATE,1.707
485,UNSDG_LDC,2013,DM_NET_MG_RATE,-1.069
486,URY,2013,DM_NET_MG_RATE,-1.671
487,USA,2013,DM_NET_MG_RATE,4.144
488,UZB,2013,DM_NET_MG_RATE,-0.68
489,VAT,2013,DM_NET_MG_RATE,0
490,VCT,2013,DM_NET_MG_RATE,-14.498
491,VEN,2013,DM_NET_MG_RATE,-1.936
492,VGB,2013,DM_NET_MG_RATE,5.739
493,VIR,2013,DM_NET_MG_RATE,-8.212
494,VNM,2013,DM_NET_MG_RATE,-0.053
495,VUT,2013,DM_NET_MG_RATE,-3.121
496,WLF,2013,DM_NET_MG_RATE,-22.312
497,WORLD,2013,DM_NET_MG_RATE,0
498,WSM,2013,DM_NET_MG_RATE,-15.789
499,XKX,2013,DM_NET_MG_RATE,-22.156
500,YEM,2013,DM_NET_MG_RATE,-0.879
501,ZAF,2013,DM_NET_MG_RATE,1.185
502,ZMB,2013,DM_NET_MG_RATE,1.023
503,ZWE,2013,DM_NET_MG_RATE,-4.41
504,ABW,2014,DM_NET_MG_RATE,0.849
505,AFG,2014,DM_NET_MG_RATE,7.842
506,AGO,2014,DM_NET_MG_RATE,3.12
507,AIA,2014,DM_NET_MG_RATE,28.903
508,ALB,2014,DM_NET_MG_RATE,-4.934
509,AND,2014,DM_NET_MG_RATE,-1.172
510,ARE,2014,DM_NET_MG_RATE,-1.691
511,ARG,2014,DM_NET_MG_RATE,0.135
512,ARM,2014,DM_NET_MG_RATE,-9.558
